ID,Region,City,Address,MinPricePerSqMeter,AvgPricePerSqMeter,MaxPricePerSqMeter,OffersCount,TotalFloors,YaLowerCorner,YaUpperCorner,WktPoint,Lat,Lon,OnDate,Source
142671,"Московская область","Реутов","Московская область, Реутов, улица Октября, 48",99000,107000,123000,8,25,"37.879081 55.75363","37.887292 55.75826","POINT(37.883186 55.755945)","55.755945","37.883186","2016-10-01 00:00:00","myData.biz"
142672,"Московская область","Реутов","Московская область, Реутов, улица Котовского, 6",116000,123000,133000,5,9,"37.860576 55.746259","37.868786 55.75089","POINT(37.864681 55.748574)","55.748574","37.864681","2016-10-01 00:00:00","myData.biz"
142673,"Московская область","Реутов","Московская область, Реутов, улица Гагарина, 40",129000,137000,145000,6,20,"37.863639 55.758661","37.871849 55.76329","POINT(37.867744 55.760975)","55.760975","37.867744","2016-10-01 00:00:00","myData.biz"
142674,"Московская область","Реутов","Московская область, Реутов, улица Реутовских ополченцев, 2",84000,91000,98000,2,25,"37.842726 55.768972","37.850937 55.773601","POINT(37.846831 55.771287)","55.771287","37.846831","2016-10-01 00:00:00","myData.biz"
142675,"Московская область","Реутов","Московская область, Реутов, улица Октября, 44",88000,102000,119000,6,25,"37.877383 55.753301","37.885594 55.757931","POINT(37.881488 55.755616)","55.755616","37.881488","2016-10-01 00:00:00","myData.biz"
142676,"Московская область","Реутов","Московская область, Реутов, улица Некрасова, 26",115000,123000,133000,3,12,"37.847209 55.770623","37.855419 55.775251","POINT(37.851314 55.772937)","55.772937","37.851314","2016-10-01 00:00:00","myData.biz"
142677,"Московская область","Реутов","Московская область, Реутов, Носовихинское шоссе, 27",105000,126000,142000,33,25,"37.872775 55.747241","37.880985 55.751872","POINT(37.87688 55.749557)","55.749557","37.87688","2016-10-01 00:00:00","myData.biz"
142678,"Московская область","Реутов","Московская область, Реутов, улица Октября, 52",90000,110000,127000,17,25,"37.880383 55.753899","37.888594 55.758529","POINT(37.884489 55.756214)","55.756214","37.884489","2016-10-01 00:00:00","myData.biz"
142679,"Московская область","Реутов","Московская область, Реутов, улица Октября, 42",94000,140000,156000,10,25,"37.87626 55.752374","37.884471 55.757004","POINT(37.880366 55.754689)","55.754689","37.880366","2016-10-01 00:00:00","myData.biz"
142680,"Московская область","Реутов","Московская область, Реутов, Юбилейный проспект, 69",99000,111000,134000,7,25,"37.882566 55.753174","37.890777 55.757805","POINT(37.886672 55.75549)","55.75549","37.886672","2016-10-01 00:00:00","myData.biz"
142681,"Московская область","Реутов","Московская область, Реутов, улица Октября, 24",146000,155000,160000,4,17,"37.866478 55.751315","37.874688 55.755945","POINT(37.870583 55.75363)","55.75363","37.870583","2016-10-01 00:00:00","myData.biz"
