last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,kitchen_area
13000000.0,108.0,2019-03-07T00:00:00,3,2.7,16.0,51.0,8,25.0
3350000.0,40.4,2018-12-04T00:00:00,1,,11.0,18.6,1,11.0
5196000.0,56.0,2015-08-20T00:00:00,2,,5.0,34.3,4,8.3
64900000.0,159.0,2015-07-24T00:00:00,3,,14.0,,9,
10000000.0,100.0,2018-06-19T00:00:00,2,3.03,14.0,32.0,13,41.0
2890000.0,30.4,2018-09-10T00:00:00,1,,12.0,14.4,5,9.1
3700000.0,37.3,2017-11-02T00:00:00,1,,26.0,10.6,6,14.4
7915000.0,71.6,2019-04-18T00:00:00,2,,24.0,,22,18.9
2900000.0,33.16,2018-05-23T00:00:00,1,,27.0,15.43,26,8.81
5400000.0,61.0,2017-02-26T00:00:00,3,2.5,9.0,43.6,7,6.5
5050000.0,39.6,2017-11-16T00:00:00,1,2.67,12.0,20.3,3,8.5
3300000.0,44.0,2018-08-27T00:00:00,2,,5.0,31.0,4,6.0
3890000.0,54.0,2016-06-30T00:00:00,2,,5.0,30.0,5,9.0
3550000.0,42.8,2017-07-01T00:00:00,2,2.56,5.0,27.0,5,5.2
4400000.0,36.0,2016-06-23T00:00:00,1,,6.0,17.0,1,8.0
4650000.0,39.0,2017-11-18T00:00:00,1,,14.0,20.5,5,7.6
6700000.0,82.0,2017-11-23T00:00:00,3,3.05,5.0,55.6,1,9.0
4180000.0,36.0,2016-09-09T00:00:00,1,,17.0,16.5,7,11.0
3250000.0,31.0,2017-01-27T00:00:00,1,2.5,5.0,19.4,2,5.6
14200000.0,121.0,2019-01-09T00:00:00,3,2.75,16.0,76.0,8,12.0
6120000.0,80.0,2017-09-28T00:00:00,3,2.7,27.0,48.0,11,12.0
3200000.0,31.6,2018-03-14T00:00:00,1,,5.0,16.9,2,5.7
5000000.0,58.0,2017-04-24T00:00:00,2,2.75,25.0,30.0,15,11.0
2950000.0,32.0,2016-10-29T00:00:00,1,2.6,9.0,17.7,9,6.1
6500000.0,97.2,2015-10-31T00:00:00,2,,3.0,46.5,1,19.6
6800000.0,76.0,2015-10-01T00:00:00,2,2.75,23.0,39.0,18,15.0
4050000.0,60.0,2017-04-28T00:00:00,4,,5.0,43.0,4,7.0
7100000.0,70.0,2017-05-12T00:00:00,3,2.6,17.0,49.0,11,9.2
4170000.0,44.0,2017-12-13T00:00:00,1,2.9,6.0,20.8,1,11.7
8600000.0,100.0,2016-04-09T00:00:00,3,,19.0,52.0,15,11.0
2200000.0,32.8,2018-02-19T00:00:00,1,,9.0,,2,
7200000.0,67.9,2017-10-26T00:00:00,2,2.8,16.0,38.1,4,13.4
4990000.0,60.0,2016-05-22T00:00:00,3,,5.0,39.0,4,6.0
4800000.0,73.0,2018-10-15T00:00:00,4,,9.0,51.6,5,6.5
3290000.0,33.0,2018-02-04T00:00:00,1,2.55,16.0,14.0,3,8.0
15500000.0,149.0,2017-06-26T00:00:00,5,,5.0,104.0,4,17.0
3790000.0,45.0,2017-01-25T00:00:00,2,,9.0,27.0,9,6.3
1990000.0,45.8,2017-10-28T00:00:00,2,2.5,5.0,,1,
3150000.0,40.0,2018-03-29T00:00:00,1,2.75,18.0,16.3,9,11.6
5200000.0,54.4,2018-11-29T00:00:00,2,2.75,9.0,29.7,2,8.8
3590000.0,36.0,2017-03-15T00:00:00,1,2.6,26.0,15.0,22,10.0
7900000.0,74.0,2016-05-04T00:00:00,3,,14.0,59.0,8,12.0
22000000.0,161.8,2015-07-08T00:00:00,4,2.8,4.0,80.9,2,17.6
9330000.0,48.0,2017-01-10T00:00:00,2,3.0,4.0,28.0,4,7.5
5350000.0,40.0,2018-11-18T00:00:00,1,,22.0,,3,
5200000.0,50.6,2018-12-02T00:00:00,2,2.65,9.0,30.3,7,7.0
6600000.0,52.1,2019-01-31T00:00:00,2,2.6,24.0,29.7,9,8.3
3600000.0,56.1,2018-10-18T00:00:00,3,,4.0,42.5,3,5.7
3600000.0,33.83,2017-10-03T00:00:00,1,,24.0,15.35,6,9.5
3050000.0,30.8,2018-11-22T00:00:00,1,2.5,9.0,18.0,7,6.0
4500000.0,48.2,2017-11-13T00:00:00,1,2.7,5.0,25.4,4,9.0
45000000.0,161.0,2017-10-17T00:00:00,3,3.2,8.0,38.0,4,50.0
11795000.0,136.0,2017-09-22T00:00:00,6,3.0,2.0,94.0,2,11.0
4300000.0,39.1,2017-11-10T00:00:00,1,,25.0,15.4,13,15.5
3320000.0,36.5,2017-04-14T00:00:00,1,,24.0,14.0,6,12.0
7400000.0,58.8,2018-03-24T00:00:00,2,2.6,10.0,33.7,9,10.7
4350000.0,41.0,2016-03-28T00:00:00,1,2.8,7.0,18.1,4,11.1
3200000.0,45.0,2017-10-25T00:00:00,1,,25.0,17.0,10,12.0
3900000.0,33.0,2017-07-05T00:00:00,1,2.6,9.0,19.0,5,7.0
6300000.0,46.5,2017-03-06T00:00:00,1,,13.0,,13,
2740000.0,35.0,2018-01-01T00:00:00,1,,12.0,,8,
7990000.0,74.0,2017-08-24T00:00:00,2,,4.0,43.0,4,20.0
