id,object_name,address
151635,СМЕТАНА,"город Москва, улица Егора Абакумова, дом 9"
77874,Родник,"город Москва, улица Талалихина, дом 2/1, корпус 1"
24309,Кафе «Академия»,"город Москва, Абельмановская улица, дом 6"
21894,ПИЦЦЕТОРИЯ,"город Москва, Абрамцевская улица, дом 1"
119365,Кафе «Вишневая метель»,"город Москва, Абрамцевская улица, дом 9, корпус 1"
27429,СТОЛ. ПРИ ГОУ СОШ № 1051,"город Москва, Абрамцевская улица, дом 15, корпус 1"
148815,Брусника,"город Москва, переулок Сивцев Вражек, дом 6/2"
20957,Буфет МТУСИ,"город Москва, Авиамоторная улица, дом 8, строение 1"
20958,КПФ СЕМЬЯ-1,"город Москва, Авиамоторная улица, дом 8, строение 1"
28858,Столовая МТУСИ,"город Москва, Авиамоторная улица, дом 8, строение 1"
148595,Пекарня 24,"город Москва, Авиамоторная улица, дом 47"
23394,Гогиели,"город Москва, Авиамоторная улица, дом 49/1"
28582,ШКОЛА 735,"город Москва, Авиамоторная улица, дом 51"
22579,Алло Пицца,"город Москва, улица Авиаторов, дом 14"
23670,Гимназия 1542,"город Москва, улица Авиаторов, дом 16"
23663,Школа 1011,"город Москва, улица Авиаторов, дом 18"
144107,Суши Wok,"город Москва, Азовская улица, дом 3"
154654,Донер Кебаб,"город Москва, Азовская улица, дом 4"
58565,Тануки,"город Москва, Большая Академическая улица, дом 65"
153644,Американская Лаборатория Десертов,"город Москва, Филипповский переулок, дом 15/5"
21950,Кафе,"город Москва, Алтайская улица, дом 33/7"
84832,КАФЕ УЮТ,"город Москва, Алтуфьевское шоссе, дом 14"
26931,Долина Чайхона,"город Москва, Алтуфьевское шоссе, дом 14"
28751,ГБОУ Школа № 1411 (970),"город Москва, Алтуфьевское шоссе, дом 42Б"
125608,Кафетерий,"город Москва, Алтуфьевское шоссе, дом 56"
81554,Домино'с Пицца,"город Москва, Алтуфьевское шоссе, дом 56"
21304,РАХИМКУЛОВА Т.Х.,"город Москва, Алтуфьевское шоссе, дом 102Б"
29223,СТОЛОВАЯ ПРИ ГУП ОБЪЕДИНЕННЫЙ КОМБИНАТ ШКОЛЬНОГО ПИТАНИЯ,"город Москва, улица Амундсена, дом 10"
27439,ШКОЛА 1444,"город Москва, Анадырский проезд, дом 55"
22767,Мархал,"город Москва, Ангарская улица, дом 1, корпус 2"
24387,Готика,"город Москва, Ангарская улица, дом 39"
29006,Гимназия № 1527,"город Москва, проспект Андропова, дом 17, корпус 2"
70791,Кафе «Хинкальная»,"город Москва, проспект Андропова, дом 26"
69243,Суши Wok,"город Москва, проспект Андропова, дом 30"
25711,Рыба & мясо на углях,"город Москва, проспект Андропова, дом 35А"
21157,Кларом,"город Москва, проспект Андропова, дом 38, корпус 2"
127979,Месопотамия,"город Москва, улица Арбат, дом 4, строение 1"
24968,Му-Му,"город Москва, улица Арбат, дом 4, строение 1"
127980,Хлеб насущный,"город Москва, улица Арбат, дом 6/2"
88194,TAJJ MAHAL,"город Москва, улица Арбат, дом 6/2"
107496,Калифорния Дайнер,"город Москва, улица Арбат, дом 23, строение 1"
110269,Балалаечная,"город Москва, улица Арбат, дом 23, строение 1"
74969,Пиросмани,"город Москва, улица Арбат, дом 25/36"
74970,ДАНКИН ДОНАТС,"город Москва, улица Арбат, дом 25/36"
74979,Вареничная №1,"город Москва, улица Арбат, дом 29"
21723,ШОКОЛАДНИЦА,"город Москва, улица Арбат, дом 29"
24967,IL Pizzaiolo,"город Москва, улица Арбат, дом 31"
24973,Теремок,"город Москва, улица Арбат, дом 32"
21720,Хлеб насущный,"город Москва, улица Арбат, дом 32"
140165,Мосбург,"город Москва, улица Арбат, дом 36/2, строение 1"
127855,Эрик Рыжий,"город Москва, улица Арбат, дом 36/2, строение 1"
152754,Домашняя снедь,"город Москва, улица Арбат, дом 36/2, строение 1"
76932,Хинкальная,"город Москва, улица Арбат, дом 36/2, строение 1"
21998,Му-Му,"город Москва, улица Арбат, дом 45/24"
27311,ВОСТОЧНЫЙ КВАРТАЛ,"город Москва, улица Арбат, дом 45/24"
24970,ПОЧТМЕЙСТЕР,"город Москва, улица Арбат, дом 47/23"
73570,БОСФОР,"город Москва, улица Арбат, дом 47/23"
20050,Мастер,"город Москва, улица Артамонова, дом 7"
21687,Шантимель,"город Москва, Астраханский переулок, дом 1/15"
21065,Буфет при Астраханских банях,"город Москва, Астраханский переулок, дом 5/9"
27395,Столовая при школе 2097,"город Москва, Аэродромная улица, дом 9"
21214,Столовая,"город Москва, Бабаевская улица, дом 3"
21483,БУФЕТ ШК.104,"город Москва, улица Ивана Бабушкина, дом 15, корпус 1-2"
23843,КАРЛ БАЛЕНГ,"город Москва, улица Ивана Бабушкина, дом 17, корпус 1"
27474,ГБОУ Школа № 1078,"город Москва, Байкальская улица, дом 29"
25274,Старый дворик,"город Москва, Байкальская улица, дом 31"
124164,Пивной погребок,"город Москва, Бакинская улица, дом 29"
27265,ТАНУКИ,"город Москва, Балаклавский проспект, дом 48, корпус 1"
139766,Паб «ШемроК»,"город Москва, Балаклавский проспект, дом 54"
22139,ХуанХэ,"город Москва, 1-й Балтийский переулок, дом 3/25"
53084,Специализированный цех Магнолия,"город Москва, улица Барклая, дом 16, корпус 1"
59265,Кафе-бар Альбом,"город Москва, Новая Басманная улица, дом 12, строение 2"
21830,Шоколадница,"город Москва, Бауманская улица, дом 33/2, строение 1"
22366,МУ-МУ,"город Москва, Бауманская улица, дом 35/1"
143094,Кальянный клуб Дымок Уголек,"город Москва, Татарская улица, дом 14"
22804,Домино'с Пицца,"город Москва, Башиловская улица, дом 3, корпус 1"
22805,Хинкальная City,"город Москва, Башиловская улица, дом 19"
28443,Свобода,"город Москва, Башиловская улица, дом 21"
69176,Хинкальный дом Колхида,"город Москва, Беговая улица, дом 7"
155857,Глав Пирог,"город Москва, Беговая улица, дом 17, корпус 1"
27201,Розмарин,"город Москва, Беговая улица, дом 28"
25833,АЗЕРБАЙДЖАН,"город Москва, улица Демьяна Бедного, дом 4"
26239,ОРХИДЕЯ,"город Москва, Белореченская улица, дом 13, корпус 1"
28880,школа 1186,"город Москва, Белореченская улица, дом 17"
23993,КРУЖКА,"город Москва, Бережковская набережная, дом 8"
20422,ПОСТ СКРИПТУМ,"город Москва, Бережковская набережная, дом 14"
69160,CIAO BELLA,"город Москва, улица Берзарина, дом 8"
20344,Кафе Бар Бульвар,"город Москва, Бескудниковский бульвар, дом 40, корпус 3"
24363,Вояж,"город Москва, Бескудниковский бульвар, дом 57, корпус 1"
28754,ГБОУ Школа № 1411 (267),"город Москва, улица Бестужевых, дом 23"
115311,Жигулевское,"город Москва, Бибиревская улица, дом 7, корпус 1"
25933,Сестры,"город Москва, улица Маршала Бирюзова, дом 4, корпус 1"
27841,Столовая ГБОУ «Курчатовская школа»,"город Москва, улица Маршала Бирюзова, дом 4, корпус 2"
152892,Чайникофф,"город Москва, улица Маршала Бирюзова, дом 9"
22293,ЛУКУМ,"город Москва, улица Маршала Бирюзова, дом 12"
127674,СУШИ SHOP,"город Москва, улица Маршала Бирюзова, дом 13"
142568,Хинкальная (на М. Бирюзова),"город Москва, улица Маршала Бирюзова, дом 16"
125817,ШАУРМА ЖИ,"город Москва, улица Маршала Бирюзова, дом 19"
129397,СУШИ ВОК,"город Москва, улица Маршала Бирюзова, дом 19"
22292,ПРИМАВЕРА,"город Москва, улица Маршала Бирюзова, дом 21"
58827,ТРАТТОРИЯ,"город Москва, улица Маршала Бирюзова, дом 22, корпус 1"
69377,СУШИ STORE,"город Москва, улица Маршала Бирюзова, дом 28"
69159,БУЛОЧНАЯ № 5,"город Москва, улица Маршала Бирюзова, дом 28"
24437,Идилия,"город Москва, Бойцовая улица, дом 17, корпус 1"
29364,Школа № 554,"город Москва, Болотниковская улица, дом 47, корпус 1"
24616,Сказка Востока,"город Москва, Коктебельская улица, дом 11, строение 3"
28731,СТОЛОВАЯ ПРИ ШКОЛЕ 1494 (3),"город Москва, Ботаническая улица, дом 11"
24656,Хочу на дачу,"город Москва, 1-й Боткинский проезд, дом 2/6"
22284,СТАРЫЙ БАТУМЪ,"город Москва, улица Академика Бочвара, дом 7, корпус 1"
21616,СУШИ-СЕТ,"город Москва, улица Академика Бочвара, дом 7, корпус 1"
24779,Кафе Русский «водочный» дом,"город Москва, улица Бочкова, дом 5"
76961,Виктория,"город Москва, 2-я Брестская улица, дом 24/15"
72564,Вареничная №1,"город Москва, 2-я Брестская улица, дом 43"
28608,КОМБИНАТ ПИТАНИЯ МГТУ ИМ.Н.Э.БАУМАНА,"город Москва, Бригадирский переулок, дом 3-5"
28613,КОМБИНАТ ПИТАНИЯ МГТУ ИМ.Н.Э.БАУМАНА,"город Москва, Бригадирский переулок, дом 3-5"
28614,КОМБИНАТ ПИТАНИЯ МГТУ ИМ.Н.Э.БАУМАНА,"город Москва, Бригадирский переулок, дом 3-5"
25796,Пиццерия «АКАДЕМИЯ»,"город Москва, Большая Бронная улица, дом 2/6"
129113,Чебуречная СССР,"город Москва, Большая Бронная улица, дом 27/4"
136815,Местечко,"город Москва, Большая Бронная улица, дом 27/4"
150625,Пай поинт,"город Москва, Большая Бронная улица, дом 27/4"
26075,МАКДОНАЛДС,"город Москва, Большая Бронная улица, дом 29"
138699,"Кафе «Есть Хинкали, пить Вино»","город Москва, Малая Бронная улица, дом 4"
138703,Кафе «Лаффа Лаффа»,"город Москва, Малая Бронная улица, дом 4"
102832,Ресторан «Humans seafood bar»,"город Москва, Малая Бронная улица, дом 10, строение 1"
125205,Ресторан «Голос»,"город Москва, Малая Бронная улица, дом 10, строение 1"
81431,Кафе «Эстетик»,"город Москва, Малая Бронная улица, дом 20, строение 1"
141006,Кафе «AVOCADO QUEEN»,"город Москва, Малая Бронная улица, дом 20, строение 1"
24262,Ресторан«Uilliams»,"город Москва, Малая Бронная улица, дом 20А"
21790,Ресторан «ДОННА КЛАРА»,"город Москва, Малая Бронная улица, дом 21/13, строение 1"
45561,Grand Cru,"город Москва, Малая Бронная улица, дом 22, строение 1"
140349,Кафе «Ladure»,"город Москва, Малая Бронная улица, дом 27/14"
150881,ВГИК,"город Москва, Будайская улица, дом 3"
23261,Бильярдный Бар-клуб Полковник и Байрон,"город Москва, проспект Будённого, дом 1/1"
25768,Пиццерия «Питто»,"город Москва, проспект Будённого, дом 24, корпус 1"
23594,Кафе «БИРЮСА»,"город Москва, Булатниковская улица, дом 5, корпус 4"
26298,Чайхона №1,"город Москва, улица Бутлерова, дом 22"
25608,Шоколадница,"город Москва, Бутырская улица, дом 7"
115498,Пекарня & Донер,"город Москва, Бутырская улица, дом 9, корпус 2"
22801,Финист,"город Москва, Бутырская улица, дом 11"
27677,ДЭЗ Минтранса России,"город Москва, Бутырская улица, дом 79"
22996,KVARTA,"город Москва, Бутырская улица, дом 84"
26141,Панчо Пицца,"город Москва, Бутырская улица, дом 89"
26142,KFC,"город Москва, Бутырская улица, дом 89"
137903,PIZZA HUT,"город Москва, улица Вавилова, дом 72/13"
26595,IL Borgo,"город Москва, улица Вавилова, дом 81"
24606,Радэа,"город Москва, Нахимовский проспект, владение 75А"
142684,Кофейня Даблби,"город Москва, Валовая улица, дом 2-4/44, строение 1"
144250,Сабвей,"город Москва, Валовая улица, дом 6"
27207,ресторан «Якитория»,"город Москва, Валовая улица, дом 8/18"
24109,кафе Баловень,"город Москва, Валовая улица, дом 11/19"
24155,Советские времена,"город Москва, Варсонофьевский переулок, дом 6"
155973,Кафе «Андерсон»,"город Москва, Варшавское шоссе, дом 2"
23618,Кафе «Subway»,"город Москва, Варшавское шоссе, дом 7, корпус 1"
155852,Кафе «Ламаджо»,"город Москва, Варшавское шоссе, дом 29"
152556,Шаурма в пите,"город Москва, Варшавское шоссе, дом 72, корпус 2"
120658,Выпечка,"город Москва, Варшавское шоссе, дом 100"
26279,Ресторан «Макдоналдс»,"город Москва, Варшавское шоссе, дом 143А"
149568,Суши,"город Москва, улица Маршала Василевского, дом 3, корпус 1"
